,Path,kSAT_k,kSAT_v,kSAT_c,kSAT_actual_v,kSAT_actual_lit,kSAT_clauses_per_variable,kSAT_clauses_per_literal,qubo_density_deg1,qubo_density_deg2,qubo_variables,qubo_monomials,qubo_monomials_per_variable,time_createInstance,time_ChoisReduc,time_totalPath,kSAT_approx_node_connectivity,qubo_approx_node_connectivity
0,KCMCQ,20,59,288,59,118,4.88135593220339,2.440677966101695,1.0,0.011764376049082596,5760,200883,34.87552083333333,0.008803367614746094,35.707868337631226,35.71667170524597,58,52
1,KCMCQ,20,59,275,59,118,4.661016949152542,2.330508474576271,1.0,0.011920249962803154,5500,185761,33.774727272727276,0.005527973175048828,31.896265268325806,31.901793241500854,58,50
2,KCMCQ,20,59,262,59,118,4.440677966101695,2.2203389830508473,1.0,0.012082895605332293,5240,171092,32.65114503816794,0.007653951644897461,29.136401176452637,29.144055128097534,58,46
3,KCMCQ,20,59,249,59,118,4.220338983050848,2.110169491525424,1.0,0.012268072087506483,4980,157076,31.54136546184739,0.006590604782104492,26.582194805145264,26.588785409927368,58,44
4,KCMCQ,20,59,236,59,118,4.0,2.0,1.0,0.012477058124207584,4720,143675,30.439618644067796,0.008541584014892578,23.80524444580078,23.813786029815674,58,43
5,KCMCQ,20,59,223,59,118,3.7796610169491527,1.8898305084745763,1.0,0.01269765285506111,4460,130720,29.309417040358746,0.0046122074127197266,21.10214924812317,21.10676145553589,58,41
6,KCMCQ,20,59,210,59,118,3.559322033898305,1.7796610169491525,1.0,0.012963063768017329,4200,118507,28.21595238095238,0.00784158706665039,18.440956354141235,18.448797941207886,58,38
7,KCMCQ,20,59,197,59,118,3.3389830508474576,1.6694915254237288,1.0,0.013245651000086341,3940,106724,27.08730964467005,0.007127523422241211,16.30480408668518,16.311931610107422,58,38
8,KCMCQ,20,59,184,59,118,3.1186440677966103,1.5593220338983051,1.0,0.01360084262027725,3680,95749,26.01875,0.0031626224517822266,13.552809238433838,13.55597186088562,58,36
9,KCMCQ,20,59,171,59,118,2.8983050847457625,1.4491525423728813,1.0,0.013989077207007965,3420,85207,24.914327485380117,0.0046846866607666016,12.432292699813843,12.43697738647461,58,35
10,KCMCQ,20,59,158,59,118,2.6779661016949152,1.3389830508474576,1.0,0.01443474741646331,3160,75207,23.799683544303797,0.003086566925048828,9.916556596755981,9.91964316368103,58,33
11,KCMCQ,20,59,145,59,118,2.457627118644068,1.228813559322034,1.0,0.014984953194323846,2900,65890,22.720689655172414,0.0016665458679199219,7.494157075881958,7.495823621749878,58,31
12,KCMCQ,20,59,132,59,118,2.23728813559322,1.11864406779661,1.0,0.015616567340705271,2640,57040,21.606060606060606,0.004979848861694336,7.338634967803955,7.343614816665649,58,29
13,KCMCQ,20,59,119,59,118,2.016949152542373,1.0084745762711864,1.0,0.0163733084658832,2380,48733,20.476050420168068,0.0013048648834228516,5.558203458786011,5.559508323669434,58,27
14,KCMCQ,20,59,106,59,118,1.7966101694915255,0.8983050847457628,1.0,0.017313702618714774,2120,41009,19.3438679245283,0.0037441253662109375,4.870341777801514,4.874085903167725,58,26
15,KCMCQ,20,59,93,59,118,1.576271186440678,0.788135593220339,1.0,0.018560678362167196,1860,33949,18.25215053763441,0.0021903514862060547,3.56376051902771,3.565950870513916,58,26
16,KCMCQ,20,59,80,59,118,1.3559322033898304,0.6779661016949152,1.0,0.02025328330206379,1600,27508,17.1925,0.0030400753021240234,2.629132032394409,2.632172107696533,58,24
17,KCMCQ,20,59,67,59,118,1.1355932203389831,0.5677966101694916,1.0,0.022554144884241973,1340,21574,16.1,0.0012938976287841797,1.7749040126800537,1.776197910308838,58,23
18,KCMCQ,20,59,54,59,118,0.9152542372881356,0.4576271186440678,1.0,0.025910479524937358,1080,16177,14.978703703703705,0.0009534358978271484,1.1066930294036865,1.1076464653015137,56,22
19,KCMCQ,20,59,41,59,118,0.6949152542372882,0.3474576271186441,1.0,0.03145120462193633,820,11381,13.879268292682926,0.0005743503570556641,0.35456347465515137,0.35513782501220703,52,21
20,KCMCQ,20,59,28,59,118,0.4745762711864407,0.23728813559322035,1.0,0.04187963199591106,560,7115,12.705357142857142,0.0006299018859863281,0.2935142517089844,0.2941441535949707,47,19
21,KCMCQ,20,59,15,59,113,0.2542372881355932,0.13274336283185842,1.0,0.07090301003344482,300,3480,11.6,0.0006334781646728516,0.10807681083679199,0.10871028900146484,27,17
22,KCMCQ,20,59,2,32,34,0.0625,0.058823529411764705,1.0,0.48846153846153845,40,421,10.525,0.0002193450927734375,0.001590728759765625,0.0018100738525390625,6,1
23,KCMCQ,20,56,288,56,112,5.142857142857143,2.5714285714285716,1.0,0.012200589415600703,5760,208118,36.131597222222226,0.009612798690795898,33.88984513282776,33.899457931518555,55,57
24,KCMCQ,20,56,275,56,112,4.910714285714286,2.455357142857143,1.0,0.01235960257236853,5500,192405,34.982727272727274,0.005238056182861328,31.726922750473022,31.732160806655884,55,55
25,KCMCQ,20,56,262,56,112,4.678571428571429,2.3392857142857144,1.0,0.012522712072841825,5240,177129,33.80324427480916,0.00855398178100586,28.55579662322998,28.564350605010986,55,53
26,KCMCQ,20,56,249,56,112,4.446428571428571,2.2232142857142856,1.0,0.012705894878973617,4980,162504,32.63132530120482,0.004436969757080078,24.558708429336548,24.563145399093628,55,50
27,KCMCQ,20,56,236,56,112,4.214285714285714,2.107142857142857,1.0,0.012912639491992343,4720,148526,31.46737288135593,0.008751630783081055,23.109710931777954,23.118462562561035,55,48
