,Path,kSAT_k,kSAT_v,kSAT_c,kSAT_actual_v,kSAT_actual_lit,kSAT_clauses_per_variable,kSAT_clauses_per_literal,3SAT_c,3SAT_actual_v,3SAT_actual_lit,3SAT_clauses_per_variable,3SAT_clauses_per_literal,qubo_density_deg1,qubo_density_deg2,qubo_variables,qubo_monomials,qubo_monomials_per_variable,time_createInstance,time_textbook3SatfromkSat,time_ChoisReduc,time_totalPath,kSAT_approx_node_connectivity,3SAT_approx_node_connectivity,qubo_approx_node_connectivity
1733,KT3CMCQ,7,22,184,22,44,8.363636363636363,4.181818181818182,920,758,1516,1.2137203166226913,0.6068601583113457,1.0,0.005887451345005279,2760,25176,9.121739130434783,0.001865386962890625,0.0023915767669677734,7.477494716644287,7.4817516803741455,1,3,3
1734,KT3CMCQ,7,22,171,22,44,7.7727272727272725,3.8863636363636362,855,706,1412,1.2110481586402266,0.6055240793201133,1.0,0.005956214856781406,2565,22151,8.635867446393762,0.0016603469848632812,0.0022580623626708984,6.8975465297698975,6.901464939117432,1,3,3
1735,KT3CMCQ,7,22,158,22,44,7.181818181818182,3.590909090909091,790,654,1308,1.2079510703363914,0.6039755351681957,1.0,0.006034343034946825,2370,19310,8.147679324894515,0.0015110969543457031,0.002372264862060547,5.630338907241821,5.6342222690582275,1,3,3
1736,KT3CMCQ,7,22,145,22,44,6.590909090909091,3.2954545454545454,725,602,1204,1.2043189368770764,0.6021594684385382,1.0,0.006130973151878522,2175,16670,7.664367816091954,0.0014314651489257812,0.001733541488647461,4.59593391418457,4.5990989208221436,1,3,3
1737,KT3CMCQ,7,22,132,22,44,6.0,3.0,660,550,1100,1.2,0.6,1.0,0.006245884820922719,1980,14217,7.180303030303031,0.0013453960418701172,0.0015978813171386719,3.7695906162261963,3.772533893585205,1,3,3
1738,KT3CMCQ,7,22,119,22,44,5.409090909090909,2.7045454545454546,595,498,996,1.1947791164658634,0.5973895582329317,1.0,0.006362186130057404,1785,11915,6.675070028011205,0.0011425018310546875,0.0013918876647949219,3.0679523944854736,3.0704867839813232,1,3,3
1739,KT3CMCQ,7,22,106,22,44,4.818181818181818,2.409090909090909,530,446,892,1.188340807174888,0.594170403587444,1.0,0.006557662546358416,1590,9874,6.210062893081761,0.0010519027709960938,0.0012264251708984375,2.615769147872925,2.6180474758148193,1,3,3
1740,KT3CMCQ,7,22,93,22,44,4.2272727272727275,2.1136363636363638,465,394,788,1.1802030456852792,0.5901015228426396,1.0,0.00675912641479356,1395,7967,5.711111111111111,0.0009293556213378906,0.0010941028594970703,1.979130744934082,1.981154203414917,1,3,3
1741,KT3CMCQ,7,22,80,22,44,3.6363636363636362,1.8181818181818181,400,342,684,1.1695906432748537,0.5847953216374269,1.0,0.0070850708924103415,1200,6297,5.2475,0.0007829666137695312,0.0009329319000244141,1.3982343673706055,1.3999502658843994,2,3,2
1742,KT3CMCQ,7,22,67,22,44,3.0454545454545454,1.5227272727272727,335,290,580,1.1551724137931034,0.5775862068965517,1.0,0.007379437473984659,1005,4728,4.704477611940298,0.0006642341613769531,0.0007734298706054688,0.9618833065032959,0.9633209705352783,2,3,2
1743,KT3CMCQ,7,22,54,22,44,2.4545454545454546,1.2272727272727273,270,238,476,1.134453781512605,0.5672268907563025,1.0,0.008023928337072135,810,3439,4.245679012345679,0.0005764961242675781,0.0006346702575683594,0.6631157398223877,0.6643269062042236,1,3,3
1744,KT3CMCQ,7,22,41,22,44,1.8636363636363635,0.9318181818181818,205,186,372,1.1021505376344085,0.5510752688172043,1.0,0.008924551786234474,615,2300,3.7398373983739837,0.0004391670227050781,0.0004646778106689453,0.35648369789123535,0.3573875427246094,1,3,3
1745,KT3CMCQ,7,22,28,22,44,1.2727272727272727,0.6363636363636364,140,134,268,1.044776119402985,0.5223880597014925,1.0,0.010967155358563473,420,1385,3.2976190476190474,0.00035119056701660156,0.00033783912658691406,0.16718530654907227,0.16787433624267578,1,3,2
1746,KT3CMCQ,7,22,15,21,40,0.7142857142857143,0.375,75,81,160,0.9259259259259259,0.46875,1.0,0.01619047619047619,225,633,2.8133333333333335,0.00021409988403320312,0.00017714500427246094,0.05070376396179199,0.051095008850097656,0,3,2
1747,KT3CMCQ,7,22,2,11,13,0.18181818181818182,0.15384615384615385,10,19,29,0.5263157894736842,0.3448275862068966,1.0,0.09195402298850575,30,70,2.3333333333333335,0.00010228157043457031,3.361701965332031e-05,0.0012362003326416016,0.0013720989227294922,0,1,1
1748,KT3CMCQ,7,19,288,19,38,15.157894736842104,7.578947368421052,1440,1171,2342,1.2297181895815543,0.6148590947907772,1.0,0.006327446339601931,4320,63349,14.66412037037037,0.0028617382049560547,0.0039556026458740234,18.871184825897217,18.878002166748047,1,3,2
1749,KT3CMCQ,7,19,275,19,38,14.473684210526315,7.2368421052631575,1375,1119,2238,1.2287756925826632,0.6143878462913316,1.0,0.0063627546071774975,4125,58245,14.12,0.0025110244750976562,0.0031592845916748047,16.133779048919678,16.13944935798645,1,3,2
1750,KT3CMCQ,7,19,262,19,38,13.789473684210526,6.894736842105263,1310,1067,2134,1.2277413308341143,0.6138706654170571,1.0,0.006405685653168162,3930,53385,13.583969465648854,0.0024137496948242188,0.003161907196044922,15.847400665283203,15.852976322174072,1,3,2
1751,KT3CMCQ,7,19,249,19,38,13.105263157894736,6.552631578947368,1245,1015,2030,1.2266009852216748,0.6133004926108374,1.0,0.006443485063266815,3735,48667,13.029986613119144,0.002351999282836914,0.002928495407104492,14.690957069396973,14.696237564086914,1,3,2
